N,P,K,pH,soil_moisture,temperature,stress_type
5.0,55.0,18.0,7.322097972,10,34.18,nitrogen_deficiency
5.0,56.0,24.0,5.023115055,57,34.48,nitrogen_deficiency
37.0,77.0,17.0,5.617122801,68,34.77,potassium_deficiency
13.0,73.0,20.0,5.391560418,46,34.58,nitrogen_deficiency
6.0,63.0,23.0,5.906596905,83,34.38,nitrogen_deficiency
16.0,77.0,22.0,6.574209678,26,34.13,nitrogen_deficiency
25.0,64.0,20.0,4.807776749,78,33.88,ph_stress_acidic
34.0,75.0,24.0,4.760038039,7,34.12,ph_stress_acidic
20.0,77.0,23.0,5.180271502,48,34.37,ph_stress_acidic
35.0,80.0,25.0,4.895927306,34,34.07,ph_stress_acidic
14.0,75.0,24.0,6.436160044,48,33.77,nitrogen_deficiency
36.0,80.0,21.0,7.066087261,5,33.76,water_stress
7.0,77.0,18.0,6.655918078,15,33.76,nitrogen_deficiency
29.0,78.0,25.0,5.982854523,48,33.76,healthy
30.0,60.0,21.0,5.457871273,48,33.75,ph_stress_acidic
20.0,74.0,16.0,4.759490199,74,33.55,potassium_deficiency
19.0,57.0,23.0,7.342409555,10,33.35,water_stress
3.0,60.0,19.0,4.820788186,23,33.39,nitrogen_deficiency
5.0,77.0,19.0,6.242052013,35,33.42,nitrogen_deficiency
5.0,68.0,20.0,5.001038726,74,33.54,nitrogen_deficiency
37.0,73.0,21.0,5.560224583,17,33.67,ph_stress_acidic
9.0,59.0,24.0,4.747352458,37,33.72,nitrogen_deficiency
20.0,72.0,15.0,7.313517308,77,33.77,potassium_deficiency
31.0,56.0,23.0,5.661826398,44,33.77,healthy
0.0,70.0,21.0,4.672437054,62,33.77,nitrogen_deficiency
21.0,74.0,15.0,6.471862118,70,33.76,potassium_deficiency
13.0,67.0,18.0,5.384762927,19,33.74,nitrogen_deficiency
27.0,74.0,20.0,5.859813416,9,33.72,water_stress
29.0,72.0,24.0,6.962386495,50,33.7,healthy
5.0,68.0,20.0,6.12166671,65,33.67,nitrogen_deficiency
39.0,57.0,19.0,6.421748487,9,33.65,water_stress
22.0,62.0,16.0,4.828936119,42,33.45,potassium_deficiency
18.0,55.0,23.0,6.98571967,22,33.25,healthy
39.0,77.0,21.0,4.603563116,57,33.04,ph_stress_acidic
13.0,75.0,20.0,6.979540061,25,32.84,nitrogen_deficiency
27.0,71.0,24.0,7.064973419,25,32.75,healthy
26.0,64.0,22.0,5.16516459,16,32.66,ph_stress_acidic
23.0,55.0,16.0,5.111488821,79,32.56,potassium_deficiency
4.0,69.0,19.0,5.374358869,84,32.47,nitrogen_deficiency
20.0,67.0,19.0,5.671419084,2,32.38,water_stress
7.0,74.0,17.0,5.667419697,33,32.29,nitrogen_deficiency
17.0,64.0,18.0,6.07938452,80,32.19,potassium_deficiency
35.0,71.0,17.0,6.931924963,86,32.1,potassium_deficiency
11.0,72.0,22.0,6.842744374,30,31.95,nitrogen_deficiency
20.0,60.0,22.0,6.876572503,86,31.8,healthy
10.0,71.0,18.0,6.151029296,1,31.66,nitrogen_deficiency
33.0,61.0,24.0,4.567446499,45,31.51,ph_stress_acidic
3.0,49.0,18.0,3.692863601,53,31.36,nitrogen_deficiency
22.0,59.0,23.0,4.371745575,39,31.21,ph_stress_acidic
36.0,58.0,25.0,8.399135958,2,30.98,ph_stress_alkaline
4.0,43.0,18.0,8.840656256,50,30.76,nitrogen_deficiency
29.0,54.0,16.0,8.153022903,41,30.55,potassium_deficiency
32.0,43.0,22.0,5.270749441,76,30.34,ph_stress_acidic
14.0,55.0,15.0,8.050304395,11,30.18,nitrogen_deficiency
5.0,35.0,20.0,9.679240873,59,30.02,nitrogen_deficiency
25.0,57.0,24.0,6.974978386,80,29.8,healthy
11.0,53.0,24.0,7.39389918,21,29.58,nitrogen_deficiency
40.0,49.0,17.0,6.68727523,37,29.35,potassium_deficiency
38.0,56.0,25.0,7.88118645,20,29.13,ph_stress_alkaline
27.0,43.0,23.0,5.875333778,74,28.82,healthy
24.0,38.0,22.0,8.202706015,52,28.52,ph_stress_alkaline
23.0,45.0,21.0,8.985348193,17,28.24,ph_stress_alkaline
29.0,57.0,20.0,5.87707519,20,27.97,healthy
31.0,35.0,23.0,7.707595055,31,27.86,ph_stress_alkaline
0.0,55.0,25.0,4.524171562,5,27.76,nitrogen_deficiency
7.0,45.0,22.0,9.926212291,61,27.68,nitrogen_deficiency
17.0,58.0,25.0,6.455592696,70,27.61,healthy
11.0,44.0,17.0,8.016210782,62,27.42,nitrogen_deficiency
22.0,49.0,22.0,3.71105919,55,27.23,ph_stress_acidic
9.0,51.0,19.0,5.49091063,65,26.97,nitrogen_deficiency
28.0,48.0,15.0,9.254089438,83,26.71,potassium_deficiency
26.0,50.0,19.0,6.005242945,52,26.63,healthy
36.0,56.0,20.0,7.437078236,40,26.55,ph_stress_alkaline
8.0,60.0,18.0,3.808429173,87,26.44,nitrogen_deficiency
24.0,37.0,21.0,5.818219385,77,26.32,healthy
22.0,43.0,24.0,4.52363558,74,26.12,ph_stress_acidic
36.0,43.0,24.0,3.510404312,36,25.93,ph_stress_acidic
22.0,44.0,24.0,6.030447288,3,25.96,water_stress
17.0,43.0,22.0,5.498340808,12,26.0,ph_stress_acidic
8.0,45.0,15.0,4.61136408,54,26.05,nitrogen_deficiency
7.0,56.0,23.0,5.545219232,32,26.1,nitrogen_deficiency
36.0,57.0,16.0,8.292875734,28,26.05,potassium_deficiency
11.0,45.0,19.0,3.828031463,89,26.0,nitrogen_deficiency
6.0,36.0,22.0,8.869532817,60,25.92,nitrogen_deficiency
17.0,57.0,20.0,3.793575185,55,25.85,ph_stress_acidic
4.0,47.0,20.0,4.193189124,85,25.72,nitrogen_deficiency
9.0,49.0,16.0,7.661537348,80,25.6,nitrogen_deficiency
25.0,51.0,24.0,9.392694614,74,25.54,ph_stress_alkaline
36.0,44.0,21.0,4.516154055,24,25.49,ph_stress_acidic
21.0,38.0,20.0,5.794289715,29,25.43,healthy
37.0,57.0,20.0,7.354286985,49,25.37,healthy
32.0,48.0,18.0,5.993513566,43,25.14,potassium_deficiency
29.0,44.0,20.0,8.620107545,5,24.91,ph_stress_alkaline
25.0,51.0,18.0,9.45949344,71,24.66,potassium_deficiency
10.0,44.0,24.0,8.0344125,49,24.4,nitrogen_deficiency
23.0,35.0,18.0,5.414492777,40,24.4,potassium_deficiency
9.0,60.0,23.0,6.276004336,21,24.4,nitrogen_deficiency
3.0,58.0,21.0,9.160691747,17,24.26,nitrogen_deficiency
22.0,42.0,22.0,7.887658711,13,24.13,ph_stress_alkaline
12.0,39.0,21.0,8.183844843,59,24.04,nitrogen_deficiency
39.0,36.0,22.0,9.072011412,63,23.95,ph_stress_alkaline
32.0,41.0,16.0,7.702287236,82,23.87,potassium_deficiency
30.0,41.0,15.0,5.88509677,75,23.79,potassium_deficiency
19.0,36.0,22.0,6.16496284,57,23.65,healthy
4.0,46.0,15.0,3.504752314,83,23.51,nitrogen_deficiency
21.0,39.0,20.0,7.388007483,39,23.47,healthy
35.0,57.0,25.0,8.340398059,65,23.43,ph_stress_alkaline
22.0,55.0,24.0,8.66077954,54,23.22,ph_stress_alkaline
35.0,51.0,17.0,3.558822825,10,23.01,potassium_deficiency
17.0,56.0,17.0,5.9565851,8,23.06,potassium_deficiency
28.0,57.0,17.0,9.416003106,28,23.11,potassium_deficiency
22.0,36.0,16.0,8.18422855,19,23.0,potassium_deficiency
11.0,41.0,19.0,5.131779302,70,22.89,nitrogen_deficiency
38.0,38.0,18.0,6.294130313,31,22.64,potassium_deficiency
23.0,37.0,24.0,7.991902443,83,22.39,ph_stress_alkaline
25.0,35.0,20.0,8.923095695,6,22.36,ph_stress_alkaline
40.0,45.0,20.0,6.878498176,29,22.33,healthy
23.0,58.0,19.0,5.243634849,72,22.3,ph_stress_acidic
2.0,56.0,23.0,7.550090941,14,22.27,nitrogen_deficiency
3.0,56.0,17.0,8.709291688,31,22.2,nitrogen_deficiency
26.0,51.0,25.0,7.792508068,7,22.12,ph_stress_alkaline
39.0,42.0,20.0,8.055908858,34,22.08,ph_stress_alkaline
27.0,59.0,20.0,4.397698806,39,22.03,ph_stress_acidic
24.0,45.0,19.0,5.952384957,88,21.72,healthy
7.0,40.0,17.0,8.532078733,12,21.41,nitrogen_deficiency
15.0,45.0,23.0,7.224193642,90,21.23,nitrogen_deficiency
26.0,52.0,23.0,4.931890506,26,21.05,ph_stress_acidic
20.0,45.0,16.0,4.626212446,11,21.11,potassium_deficiency
34.0,54.0,24.0,5.026003659,74,21.17,ph_stress_acidic
19.0,51.0,25.0,3.5253661,71,21.13,ph_stress_acidic
29.0,41.0,21.0,8.86979671,43,21.1,ph_stress_alkaline
20.0,50.0,22.0,9.406887533,84,21.06,ph_stress_alkaline
11.0,40.0,23.0,5.80428611,44,21.02,nitrogen_deficiency
15.0,54.0,15.0,8.35495812,42,20.85,nitrogen_deficiency
35.0,55.0,22.0,8.634929739,20,20.67,ph_stress_alkaline
9.0,59.0,25.0,7.699200949,36,20.5,nitrogen_deficiency
40.0,45.0,18.0,5.261285926,26,20.33,potassium_deficiency
35.0,38.0,19.0,9.112771682,20,20.29,ph_stress_alkaline
14.0,58.0,17.0,4.605700542,11,20.25,nitrogen_deficiency
40.0,55.0,18.0,7.115994051,49,20.19,potassium_deficiency
18.0,36.0,23.0,7.214078621,49,20.13,healthy
35.0,52.0,15.0,9.93509073,39,20.07,potassium_deficiency
4.0,59.0,22.0,8.914074888,83,19.9,nitrogen_deficiency
22.0,51.0,16.0,8.639586199,40,19.74,potassium_deficiency
33.0,47.0,17.0,8.621514073,2,19.66,potassium_deficiency
2.0,51.0,17.0,5.838508699,85,19.58,nitrogen_deficiency
16.0,51.0,21.0,3.532008668,35,19.34,nitrogen_deficiency
19.0,55.0,20.0,7.18530147,36,19.1,healthy
8.0,54.0,20.0,7.034214276,75,19.09,nitrogen_deficiency
36.0,55.0,20.0,6.635968698,71,19.08,healthy
10.0,56.0,16.0,6.828187499,81,19.01,nitrogen_deficiency
22.0,56.0,17.0,6.89077995,18,18.94,potassium_deficiency
9.0,57.0,24.0,7.165121109,21,18.96,nitrogen_deficiency
34.0,59.0,23.0,6.935804256,46,18.99,healthy
31.0,51.0,25.0,7.196774236,60,19.02,healthy
0.0,49.0,18.0,6.990095452,12,19.04,nitrogen_deficiency
21.0,39.0,20.0,7.064782138,13,18.98,water_stress
28.0,35.0,22.0,7.156563094,82,18.93,healthy
17.0,52.0,17.0,6.364967184,27,18.99,potassium_deficiency
24.0,42.0,23.0,6.428054409,9,19.06,water_stress
28.0,46.0,16.0,6.664187809,62,19.07,potassium_deficiency
21.0,38.0,21.0,6.637677489,82,19.08,healthy
34.0,60.0,25.0,6.79385576,51,19.02,healthy
19.0,53.0,22.0,6.852884643,61,18.95,healthy
31.0,58.0,15.0,7.121571293,89,18.78,potassium_deficiency
19.0,35.0,24.0,6.883308033,56,18.61,healthy
24.0,53.0,17.0,6.421271178,13,18.52,potassium_deficiency
13.0,47.0,20.0,6.54450214,19,18.44,nitrogen_deficiency
31.0,53.0,16.0,6.452006451,90,18.35,potassium_deficiency
28.0,45.0,23.0,6.489259136,60,18.26,healthy
31.0,37.0,21.0,6.713410626,39,18.38,healthy
33.0,60.0,15.0,6.510840928,72,18.49,potassium_deficiency
34.0,45.0,21.0,6.287380117,90,18.52,healthy
13.0,57.0,25.0,6.86308576,44,18.55,nitrogen_deficiency
33.0,57.0,17.0,6.78415271,73,18.54,potassium_deficiency
32.0,57.0,22.0,6.769415888,71,18.52,healthy
23.0,59.0,25.0,6.320768488,55,18.4,healthy
35.0,41.0,18.0,6.705008504,70,18.28,potassium_deficiency
6.0,48.0,24.0,6.790736339,35,18.04,nitrogen_deficiency
29.0,36.0,25.0,7.130278657,25,17.8,healthy
4.0,36.0,22.0,7.012740397,26,17.65,nitrogen_deficiency
10.0,59.0,22.0,7.155685016,53,17.5,nitrogen_deficiency
14.0,48.0,21.0,6.991242362,86,17.38,nitrogen_deficiency
8.0,50.0,21.0,6.218923893,2,17.27,nitrogen_deficiency
20.0,40.0,15.0,7.199495368,28,17.28,potassium_deficiency
36.0,43.0,22.0,6.389882166,15,17.29,healthy
14.0,57.0,15.0,6.623438282,36,17.37,nitrogen_deficiency
11.0,60.0,23.0,7.033012777,35,17.45,nitrogen_deficiency
10.0,59.0,15.0,6.32400451,54,17.56,nitrogen_deficiency
7.0,60.0,25.0,6.397636709,72,17.68,nitrogen_deficiency
2.0,47.0,15.0,6.401455706,86,17.7,nitrogen_deficiency
20.0,45.0,22.0,6.904587016,34,17.71,healthy
2.0,39.0,15.0,6.478557136,36,17.55,nitrogen_deficiency
27.0,40.0,24.0,7.063022095,55,17.38,healthy
35.0,48.0,15.0,6.981758362,42,17.29,potassium_deficiency
4.0,59.0,25.0,6.227134139,28,17.21,nitrogen_deficiency
1.0,48.0,24.0,6.232836962,44,17.12,nitrogen_deficiency
36.0,43.0,21.0,7.140437859,5,16.96,water_stress
11.0,46.0,24.0,6.459252023,42,16.81,nitrogen_deficiency
34.0,47.0,19.0,6.568795404,81,16.89,healthy
21.0,44.0,18.0,7.12851089,4,16.96,potassium_deficiency
17.0,58.0,20.0,6.42937879,63,17.04,healthy
25.0,40.0,21.0,6.248900919,3,17.12,water_stress
2.0,38.0,18.0,6.619891498,88,17.03,nitrogen_deficiency
9.0,48.0,20.0,6.377568542,10,16.94,nitrogen_deficiency
37.0,49.0,25.0,6.415459592,35,16.76,healthy
36.0,38.0,15.0,6.320662012,19,16.59,potassium_deficiency
40.0,58.0,15.0,6.978400282,70,16.55,potassium_deficiency
30.0,44.0,16.0,6.442335593,34,16.51,potassium_deficiency
1.0,59.0,23.0,7.184398832,61,16.33,nitrogen_deficiency
9.0,48.0,22.0,6.402926221,40,16.14,nitrogen_deficiency
14.0,41.0,17.0,7.085982325,70,16.0,nitrogen_deficiency
35.0,52.0,19.0,6.698574085,26,15.85,cold_stress
31.0,48.0,17.0,6.594739424,31,15.77,potassium_deficiency
4.0,41.0,20.0,6.647965508,74,15.69,nitrogen_deficiency
30.0,37.0,25.0,7.120032489,30,15.89,cold_stress
9.0,35.0,20.0,6.91380932,47,16.09,nitrogen_deficiency
20.0,41.0,20.0,7.073048264,14,16.4,cold_stress
37.0,50.0,23.0,6.5304707,88,16.72,healthy
34.0,35.0,21.0,6.684381357,52,16.99,healthy
14.0,37.0,15.0,6.581351374,66,17.26,nitrogen_deficiency
23.0,39.0,22.0,6.86483915,44,17.7,healthy
5.0,45.0,21.0,6.487124217,74,18.15,nitrogen_deficiency
22.0,37.0,20.0,6.605733068,89,18.73,healthy
40.0,51.0,17.0,6.860602782,32,19.31,potassium_deficiency
27.0,56.0,20.0,6.41874299,33,19.94,healthy
31.0,40.0,22.0,6.365513634,55,20.57,healthy
38.0,36.0,21.0,6.556372966,5,21.18,water_stress
6.0,37.0,17.0,6.760694228,84,21.8,nitrogen_deficiency
6.0,47.0,18.0,6.715276663,30,22.41,nitrogen_deficiency
24.0,44.0,17.0,6.666380512,81,23.02,potassium_deficiency
25.0,59.0,19.0,6.626629798,66,23.67,healthy
32.0,56.0,21.0,6.702772465,56,24.32,healthy
8.0,45.0,18.0,7.011030515,89,24.96,nitrogen_deficiency
19.0,39.0,17.0,6.890156495,43,25.6,potassium_deficiency
39.0,37.0,15.0,6.821747052,52,26.06,potassium_deficiency
33.0,37.0,19.0,7.183189922,40,26.52,healthy
26.0,54.0,17.0,6.27258822,35,27.06,potassium_deficiency
21.0,51.0,15.0,6.679127482,65,27.59,potassium_deficiency
22.0,54.0,20.0,6.689825155,30,28.14,healthy
29.0,45.0,16.0,6.583381939,63,28.69,potassium_deficiency
4.0,40.0,21.0,6.725551062,58,29.15,nitrogen_deficiency
10.0,37.0,22.0,7.069747814,45,29.61,nitrogen_deficiency
4.0,44.0,19.0,6.921993878,19,29.88,nitrogen_deficiency
20.0,45.0,17.0,6.770955317,2,30.14,potassium_deficiency
23.0,45.0,23.0,6.983130466,37,30.54,healthy
25.0,48.0,21.0,6.267684328,71,30.95,healthy
56.0,79.0,15.0,7.454532137,30,31.38,potassium_deficiency
25.0,62.0,21.0,7.040056094,55,31.8,healthy
42.0,61.0,22.0,7.418650668,6,31.78,water_stress
42.0,73.0,25.0,6.501869314,74,31.77,healthy
44.0,58.0,18.0,6.814410928,8,31.76,potassium_deficiency
50.0,55.0,16.0,7.581442888,21,31.74,potassium_deficiency
35.0,72.0,21.0,7.741418772,66,32.4,ph_stress_alkaline
30.0,64.0,20.0,6.573531614,88,33.06,healthy
27.0,64.0,21.0,7.543804223,66,32.97,ph_stress_alkaline
50.0,74.0,17.0,6.5408208,61,32.87,potassium_deficiency
39.0,73.0,24.0,7.22405917,81,32.99,healthy
57.0,67.0,25.0,7.551364319,53,33.11,ph_stress_alkaline
52.0,63.0,19.0,6.928898659,57,33.34,healthy
55.0,66.0,22.0,7.747775263,12,33.57,ph_stress_alkaline
51.0,56.0,18.0,6.706505915,84,34.0,potassium_deficiency
36.0,66.0,15.0,6.668238556,68,34.44,potassium_deficiency
59.0,55.0,19.0,7.332375138,1,34.4,water_stress
50.0,58.0,23.0,7.596802025,65,34.37,ph_stress_alkaline
30.0,65.0,25.0,7.70650895,48,34.41,ph_stress_alkaline
20.0,62.0,18.0,7.366542647,67,34.45,potassium_deficiency
58.0,71.0,15.0,6.919243702,71,34.67,potassium_deficiency
25.0,71.0,24.0,7.187721818,51,34.9,healthy
52.0,71.0,16.0,7.075886472,30,34.7,potassium_deficiency
40.0,63.0,18.0,6.74441168,2,34.49,potassium_deficiency
20.0,60.0,25.0,6.726469088,37,34.98,healthy
48.0,61.0,21.0,6.628264883,43,35.48,healthy
49.0,68.0,22.0,7.127064207,50,35.34,healthy
48.0,62.0,15.0,7.538631462,17,35.21,potassium_deficiency
32.0,66.0,17.0,7.162357641,90,35.16,potassium_deficiency
21.0,63.0,22.0,6.859409487,23,35.12,healthy
20.0,72.0,19.0,7.397190844,22,34.67,healthy
25.0,65.0,21.0,6.880245789,37,34.23,healthy
41.0,78.0,21.0,6.581313137,37,33.94,healthy
53.0,67.0,17.0,7.296972161,89,33.64,potassium_deficiency
39.0,60.0,21.0,6.97297656,38,33.12,healthy
25.0,76.0,17.0,7.241148507,88,32.59,potassium_deficiency
21.0,78.0,19.0,6.92009048,12,32.66,water_stress
57.0,60.0,17.0,7.504608385,48,32.72,potassium_deficiency
56.0,75.0,15.0,7.152272256,87,33.04,potassium_deficiency
49.0,72.0,15.0,7.137004749,80,33.36,potassium_deficiency
24.0,80.0,19.0,6.808041722,62,33.53,healthy
49.0,76.0,18.0,7.393631868,46,33.71,potassium_deficiency
28.0,68.0,19.0,7.69950698,88,33.86,ph_stress_alkaline
55.0,78.0,21.0,6.602888249,22,34.0,healthy
50.0,64.0,25.0,6.734447425,19,33.9,healthy
34.0,80.0,19.0,6.521217963,33,33.8,healthy
20.0,68.0,23.0,7.707332484,68,33.67,ph_stress_alkaline
55.0,67.0,16.0,6.596719015,49,33.54,potassium_deficiency
23.0,70.0,15.0,7.403623355,6,33.68,potassium_deficiency
53.0,74.0,15.0,7.517097,10,33.82,potassium_deficiency
26.0,67.0,16.0,7.17620823,8,33.63,potassium_deficiency
33.0,80.0,22.0,6.593961761,20,33.44,healthy
37.0,79.0,19.0,7.143942758,39,33.38,healthy
33.0,75.0,21.0,6.690655045,28,33.31,healthy
22.0,55.0,20.0,7.423530351,58,33.3,healthy
20.0,68.0,17.0,6.578714843,47,33.29,potassium_deficiency
43.0,68.0,20.0,7.497469256,90,33.02,ph_stress_alkaline
44.0,76.0,22.0,7.775306272,3,32.76,ph_stress_alkaline
34.0,60.0,16.0,7.322555223,88,32.78,potassium_deficiency
21.0,72.0,17.0,7.580527339,85,32.79,potassium_deficiency
25.0,68.0,19.0,7.108450121,75,32.92,healthy
41.0,62.0,15.0,7.358974541,38,33.04,potassium_deficiency
28.0,65.0,23.0,7.405176138,49,33.02,healthy
35.0,64.0,15.0,6.500144962,68,33.01,potassium_deficiency
52.0,58.0,16.0,7.167435834,69,33.07,potassium_deficiency
58.0,75.0,25.0,7.261791753,51,33.13,healthy
34.0,66.0,19.0,7.586642101,48,33.08,ph_stress_alkaline
52.0,70.0,16.0,7.534811833,53,33.02,potassium_deficiency
23.0,57.0,19.0,7.251000789,22,32.92,healthy
42.0,58.0,25.0,6.513620918,15,32.82,healthy
37.0,62.0,17.0,7.121254928,41,32.77,potassium_deficiency
44.0,75.0,22.0,7.574561547,79,32.72,ph_stress_alkaline
21.0,80.0,20.0,7.350869792,33,32.63,healthy
56.0,76.0,16.0,7.513151076,50,32.54,potassium_deficiency
29.0,76.0,15.0,7.025607706,30,32.6,potassium_deficiency
43.0,61.0,20.0,6.804253866,46,32.65,healthy
55.0,60.0,15.0,7.163043872,71,32.45,potassium_deficiency
44.0,63.0,15.0,7.338929556,78,32.25,potassium_deficiency
29.0,67.0,21.0,6.621323612,73,32.22,healthy
47.0,63.0,16.0,6.661870999,14,32.19,potassium_deficiency
40.0,68.0,17.0,7.733149554,59,32.17,potassium_deficiency
58.0,61.0,15.0,7.402891666,15,32.15,potassium_deficiency
41.0,74.0,18.0,6.599147298,81,32.06,potassium_deficiency
58.0,79.0,17.0,7.04174124,54,31.97,potassium_deficiency
27.0,62.0,24.0,7.353876754,60,31.84,healthy
27.0,60.0,17.0,7.026795359,42,31.72,potassium_deficiency
52.0,65.0,20.0,6.814301033,49,31.64,healthy
44.0,55.0,25.0,7.42160832,55,31.57,healthy
21.0,62.0,24.0,6.847382891,43,31.52,healthy
60.0,59.0,22.0,7.191522601,48,31.47,healthy
33.0,77.0,21.0,7.01285529,35,31.37,healthy
59.0,58.0,17.0,7.368318809,76,31.27,potassium_deficiency
29.0,63.0,17.0,7.26154329,20,31.06,potassium_deficiency
59.0,63.0,18.0,6.52669158,5,30.84,potassium_deficiency
29.0,70.0,15.0,6.872594461,48,30.68,potassium_deficiency
58.0,73.0,16.0,6.874142175,53,30.52,potassium_deficiency
55.0,77.0,22.0,7.76061831,18,30.36,ph_stress_alkaline
42.0,79.0,23.0,6.781841984,71,30.2,healthy
44.0,77.0,21.0,7.326980454,7,29.96,water_stress
38.0,62.0,25.0,7.453975408,89,29.72,ph_stress_alkaline
32.0,76.0,15.0,7.604110177,85,29.55,potassium_deficiency
13.0,61.0,22.0,7.728832424,71,29.38,nitrogen_deficiency
38.0,60.0,20.0,7.491217102,85,29.08,ph_stress_alkaline
11.0,74.0,17.0,6.633864582,2,28.78,nitrogen_deficiency
37.0,71.0,16.0,7.324863481,29,28.58,potassium_deficiency
29.0,71.0,18.0,6.410441476,60,28.39,potassium_deficiency
2.0,72.0,18.0,7.836719564,46,28.18,nitrogen_deficiency
6.0,59.0,21.0,6.139215944,89,27.96,nitrogen_deficiency
13.0,64.0,20.0,6.590571088,76,27.7,nitrogen_deficiency
8.0,58.0,17.0,7.286049978,72,27.45,nitrogen_deficiency
6.0,77.0,20.0,6.058306161,18,27.18,nitrogen_deficiency
2.0,75.0,22.0,6.658605362,29,26.9,nitrogen_deficiency
3.0,69.0,23.0,7.299360767,56,26.62,nitrogen_deficiency
27.0,80.0,24.0,7.815210661,59,26.35,ph_stress_alkaline
39.0,78.0,15.0,5.925391795,45,26.11,potassium_deficiency
40.0,79.0,17.0,6.403683619,31,25.87,potassium_deficiency
37.0,62.0,22.0,7.397546271,2,25.84,water_stress
31.0,60.0,24.0,7.722335992,74,25.81,ph_stress_alkaline
22.0,67.0,22.0,7.475926645,48,25.54,ph_stress_alkaline
3.0,78.0,18.0,6.887130053,1,25.26,nitrogen_deficiency
4.0,80.0,16.0,7.441976825,43,25.28,nitrogen_deficiency
13.0,61.0,24.0,7.629910253,28,25.31,nitrogen_deficiency
12.0,66.0,20.0,7.336117221,30,25.26,nitrogen_deficiency
4.0,61.0,21.0,6.75020529,20,25.22,nitrogen_deficiency
9.0,60.0,21.0,7.52178027,14,25.12,nitrogen_deficiency
18.0,66.0,22.0,6.347379185,86,25.02,healthy
32.0,56.0,18.0,7.135251532,47,24.96,potassium_deficiency
6.0,72.0,15.0,7.670178119,28,24.91,nitrogen_deficiency
15.0,77.0,20.0,7.399749291,27,24.74,nitrogen_deficiency
0.0,65.0,24.0,7.841496029,84,24.57,nitrogen_deficiency
30.0,79.0,22.0,6.254216611,32,24.39,healthy
3.0,63.0,16.0,6.868881708,56,24.21,nitrogen_deficiency
2.0,78.0,23.0,7.320514721,53,24.11,nitrogen_deficiency
10.0,78.0,18.0,6.296976913,79,24.01,nitrogen_deficiency
14.0,67.0,25.0,7.241151936,37,23.95,nitrogen_deficiency
39.0,65.0,23.0,7.685959305,23,23.89,ph_stress_alkaline
19.0,72.0,15.0,6.890760124,25,23.67,potassium_deficiency
18.0,57.0,21.0,6.155915975,43,23.45,healthy
31.0,58.0,15.0,6.167855382,43,23.3,potassium_deficiency
28.0,58.0,25.0,6.861640036,44,23.15,healthy
5.0,65.0,19.0,6.978361689,69,22.8,nitrogen_deficiency
16.0,65.0,19.0,7.043160241,30,22.46,nitrogen_deficiency
34.0,65.0,19.0,5.94239222,71,21.69,healthy
14.0,69.0,19.0,7.239455147,59,20.92,nitrogen_deficiency
22.0,55.0,16.0,6.516317561,54,20.46,potassium_deficiency
24.0,61.0,17.0,6.233269045,66,20.0,potassium_deficiency
2.0,79.0,15.0,7.505283615,76,19.53,nitrogen_deficiency
26.0,63.0,17.0,6.950300686,13,19.07,potassium_deficiency
27.0,61.0,15.0,6.958054839,55,18.78,potassium_deficiency
24.0,70.0,16.0,6.54803469,45,18.49,potassium_deficiency
13.0,74.0,25.0,6.461618577,60,18.4,nitrogen_deficiency
6.0,64.0,23.0,7.065264073,10,18.3,nitrogen_deficiency
12.0,58.0,23.0,6.765091462,39,18.44,nitrogen_deficiency
32.0,79.0,22.0,5.91645379,67,18.58,healthy
6.0,68.0,18.0,6.711341147,67,18.34,nitrogen_deficiency
10.0,79.0,20.0,6.379881442,9,18.09,nitrogen_deficiency
38.0,77.0,22.0,6.313284268,74,17.87,healthy
17.0,74.0,17.0,7.393210848,43,17.64,potassium_deficiency
26.0,68.0,24.0,7.504930973,5,17.48,ph_stress_alkaline
23.0,75.0,17.0,7.198076286,60,17.32,potassium_deficiency
32.0,78.0,22.0,7.007037515,22,17.16,healthy
19.0,79.0,19.0,6.677262562,78,17.0,healthy
22.0,60.0,18.0,6.74398035,15,17.11,potassium_deficiency
28.0,69.0,16.0,6.547361618,63,17.22,potassium_deficiency
1.0,67.0,21.0,6.551577598,64,17.28,nitrogen_deficiency
12.0,67.0,23.0,6.585020303,79,17.34,nitrogen_deficiency
36.0,67.0,20.0,6.924042372,59,17.41,healthy
28.0,70.0,21.0,7.437373666,31,17.47,ph_stress_alkaline
12.0,71.0,19.0,7.142611056,17,17.53,nitrogen_deficiency
22.0,68.0,16.0,7.74672376,87,17.92,potassium_deficiency
26.0,66.0,22.0,6.300479414,89,18.3,healthy
16.0,65.0,16.0,6.078724107,66,18.21,nitrogen_deficiency
14.0,59.0,22.0,6.76660668,56,18.12,nitrogen_deficiency
33.0,59.0,19.0,7.641024177,14,18.1,ph_stress_alkaline
21.0,63.0,17.0,6.559681838,19,18.08,potassium_deficiency
0.0,69.0,21.0,7.072923306,3,18.2,nitrogen_deficiency
10.0,75.0,17.0,7.732194788,71,18.33,nitrogen_deficiency
30.0,61.0,18.0,6.157782589,74,18.42,potassium_deficiency
0.0,74.0,17.0,7.240988401,21,18.51,nitrogen_deficiency
35.0,74.0,22.0,6.898905799,87,18.57,healthy
7.0,63.0,24.0,6.818681086,22,18.62,nitrogen_deficiency
9.0,56.0,17.0,6.261937875,86,18.51,nitrogen_deficiency
14.0,74.0,15.0,6.493036868,3,18.4,nitrogen_deficiency
